Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Agamodon anguliceps,Amphisbaenia,Trogonophidae,1882,200,,,,Fossorial,0,0,1,1,1,0
Agamodon arabicus,Amphisbaenia,Trogonophidae,1901,150,,,,Fossorial,1,0,1,1,1,0
Agamodon compressus,Amphisbaenia,Trogonophidae,1888,103,,,,Fossorial,1,0,1,1,1,0
Amphisbaena absaberi,Amphisbaenia,Amphisbaenidae,2001,242,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena acrobeles,Amphisbaenia,Amphisbaenidae,2009,2009,,,,Fossorial,1,0,1,1,1,0
Amphisbaena alba,Amphisbaenia,Amphisbaenidae,1758,810,12,Carnivorous,Oviparous,Fossorial&Terrestrial,0,0,0,0,0,0
Amphisbaena albocingulata,Amphisbaenia,Amphisbaenidae,1885,138,,,,*Fossorial (imputed),1,0,1,1,1,0
Amphisbaena anaemariae,Amphisbaenia,Amphisbaenidae,1997,198,,,,Fossorial,0,0,1,1,1,0
Amphisbaena angustifrons,Amphisbaenia,Amphisbaenidae,1861,345,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Amphisbaena anomala,Amphisbaenia,Amphisbaenidae,1914,273,,,,Fossorial,0,0,1,1,1,0
Amphisbaena arda,Amphisbaenia,Amphisbaenidae,2003,285,,,,Fossorial,1,0,1,1,1,0
Amphisbaena arenaria,Amphisbaenia,Amphisbaenidae,1991,245,,,,Fossorial,1,0,1,1,1,0
Amphisbaena bahiana,Amphisbaenia,Amphisbaenidae,1964,215,,,,Fossorial,1,0,1,1,1,0
Amphisbaena bakeri,Amphisbaenia,Amphisbaenidae,1904,260,,Carnivorous,,Fossorial,0,0,1,0,1,0
Amphisbaena barbouri,Amphisbaenia,Amphisbaenidae,1962,177,,,,Fossorial,0,0,1,1,1,0
Amphisbaena bedai,Amphisbaenia,Amphisbaenidae,1991,290,,,,Fossorial,1,0,1,1,1,0
Amphisbaena bilabialata,Amphisbaenia,Amphisbaenidae,1972,307,,,,Fossorial,,0,1,1,1,0
Amphisbaena bolivica,Amphisbaenia,Amphisbaenidae,1929,569,,,,Fossorial,0,0,1,1,1,0
Amphisbaena borelli,Amphisbaenia,Amphisbaenidae,1897,193,,,,Fossorial,1,0,1,1,1,0
Amphisbaena brasiliana,Amphisbaenia,Amphisbaenidae,1865,317,,,Oviparous,Fossorial,0,0,1,1,0,0
Amphisbaena brevis,Amphisbaenia,Amphisbaenidae,2009,137,,,,Fossorial,1,0,1,1,1,0
Amphisbaena caeca,Amphisbaenia,Amphisbaenidae,1829,291,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Amphisbaena caiari,Amphisbaenia,Amphisbaenidae,2014,157,,,,Fossorial,0,0,1,1,1,0
Amphisbaena camura,Amphisbaenia,Amphisbaenidae,1862,535,,Carnivorous,,Fossorial,0,0,1,0,1,0
Amphisbaena carlgansi,Amphisbaenia,Amphisbaenidae,1998,168,,,,Fossorial,0,0,1,1,1,0
Amphisbaena carli,Amphisbaenia,Amphisbaenidae,2010,269,,,,*Fossorial (imputed),1,0,1,1,1,0
Amphisbaena carvalhoi,Amphisbaenia,Amphisbaenidae,1965,129,,,,Fossorial,1,0,1,1,1,0
Amphisbaena caudalis,Amphisbaenia,Amphisbaenidae,1928,269,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena cayemite,Amphisbaenia,Amphisbaenidae,2006,220,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena cegei,Amphisbaenia,Amphisbaenidae,1997,229,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena crisae,Amphisbaenia,Amphisbaenidae,1997,149,,,,Fossorial,1,0,1,1,1,0
Amphisbaena cubana,Amphisbaenia,Amphisbaenidae,1879,206,,Carnivorous,,Fossorial,0,0,1,0,1,0
Amphisbaena cuiabana,Amphisbaenia,Amphisbaenidae,2001,316,2,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Amphisbaena cunhai,Amphisbaenia,Amphisbaenidae,1991,550,,,,Fossorial,0,0,1,1,1,0
Amphisbaena darwinii,Amphisbaenia,Amphisbaenidae,1839,360,,Carnivorous,Oviparous,Fossorial,,0,1,0,0,0
Amphisbaena dubia,Amphisbaenia,Amphisbaenidae,1924,276,,,Oviparous,Fossorial,1,0,1,1,0,0
Amphisbaena fenestrata,Amphisbaenia,Amphisbaenidae,1861,242,,Carnivorous,,Fossorial,0,0,1,0,1,0
Amphisbaena frontalis,Amphisbaenia,Amphisbaenidae,1991,284,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena fuliginosa,Amphisbaenia,Amphisbaenidae,1758,519,,Carnivorous,Oviparous,Fossorial,0,0,1,0,0,0
Amphisbaena gonavensis,Amphisbaenia,Amphisbaenidae,1962,210,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena gracilis,Amphisbaenia,Amphisbaenidae,1881,247,,,,Fossorial,1,0,1,1,1,0
Amphisbaena hastata,Amphisbaenia,Amphisbaenidae,1991,152,,,,Fossorial,0,0,1,1,1,0
Amphisbaena heathi,Amphisbaenia,Amphisbaenidae,1936,136,3,Carnivorous,Oviparous,Fossorial,1,0,0,0,0,0
Amphisbaena hiata,Amphisbaenia,Amphisbaenidae,2002,204,,,,Fossorial,1,0,1,1,1,0
Amphisbaena hogei,Amphisbaenia,Amphisbaenidae,1950,134,,,,Fossorial,1,0,1,1,1,0
